name,architecture,batch_size,epochs,optimizer,learning_rate,momentum,mode,k,n_train,n_test,n_columns,train_mse,valid_mse,test_mse,train_mape,valid_mape,test_mape,train_loss,valid_loss,test_loss
arch0_B4_OAdam_L0.05_M0.1,arch0,4,100,Adam,0.05,0.1,kfold,5,625,,8,0.0506004105914722,0.0500501959499987,,894262.9294198123,832069.8077336398,,0.0522232609716328,0.0515600844201716,
arch0_B4_OAdam_L0.05_M0.2,arch0,4,100,Adam,0.05,0.2,kfold,5,625,,8,0.3294564685400794,0.329456490278244,,99.84000244140626,99.83999938964844,,0.3310381163569058,0.3309813850066241,
arch0_B4_Osgd_L0.05_M0,arch0,4,100,sgd,0.05,0.0,kfold,5,625,,8,0.3294564393195477,0.329456478357315,,99.84000244140626,99.83999938964844,,0.3339270203978151,0.3338047221466735,
arch0_B4_Osgd_L0.05_M0.01,arch0,4,100,sgd,0.05,0.01,kfold,5,625,,8,0.3294564943524856,0.3294564723968506,,99.84000244140626,99.83999938964844,,0.3341564146778251,0.3340228628508652,
arch0_B4_Osgd_L0.05_M0.05,arch0,4,100,sgd,0.05,0.05,kfold,5,625,,8,0.0235734008892904,0.015123319941631,,419360.8225563645,627526.6407013595,,0.0419135637464933,0.0332406666944734,
arch0_B4_Osgd_L0.05_M0.1,arch0,4,100,sgd,0.05,0.1,kfold,5,625,,8,0.0945303304218932,0.0991494979219217,,827865.6685458233,169388.41679304023,,0.0992318764819126,0.1037070065344634,
arch0_B4_Osgd_L0.05_M0.2,arch0,4,100,sgd,0.05,0.2,kfold,5,625,,8,0.0295319940163088,0.0192889027031404,,611649.2745735032,602430.7767534528,,0.0455380233403827,0.0351110125293156,
arch0_B4_OAdam_L0.1_M0,arch0,4,100,Adam,0.1,0.0,kfold,5,625,,8,0.0531642245501279,0.0528453571349382,,868647.3981444549,853750.9431235504,,0.0566346082836389,0.0561450269818306,
arch0_B4_OAdam_L0.1_M0.01,arch0,4,100,Adam,0.1,0.01,kfold,5,625,,8,0.329456460125306,0.3294564664363861,,99.84000244140626,99.83999938964844,,0.3330043028382694,0.3329823031144984,
arch0_B4_OAdam_L0.1_M0.05,arch0,4,100,Adam,0.1,0.05,kfold,5,625,,8,0.0528779391944408,0.0536698397248983,,873027.5728036499,914733.8691262816,,0.0563639149814844,0.0569883728772401,
arch0_B4_OAdam_L0.1_M0.1,arch0,4,100,Adam,0.1,0.1,kfold,5,625,,8,0.3296104009334857,0.3294564723968506,,99.82247349665715,99.83999938964844,,0.3330072201215304,0.3324041022704198,
arch0_B4_OAdam_L0.1_M0.2,arch0,4,100,Adam,0.1,0.2,kfold,5,625,,8,0.3294564592838287,0.3294564664363861,,99.84000244140626,99.83999938964844,,0.3329186952114105,0.3328819036483764,
