Happiness,Health,Freedom,GovermentTrust,Generosity,Economy
4.686,0.69805,0.30033,0.05863,0.38086,1.0088
4.681,0.6739,0.25123,0.02961,0.15275,0.79907
4.677,0.60237,0,0.13788,0.17922,0.98549
4.642,0.27688,0.33207,0.08884,0.11973,0.92049
4.633,0.40132,0.42342,0.04355,0.23087,0.54558
4.61,0.33475,0.25861,0.08079,0.18987,0.271
4.571,0.34201,0.28531,0.06232,0.24362,0.0712
4.565,0.51529,0.39786,0.08492,0.26475,0.64499
4.55,0.36878,0.10081,0.1466,0.19062,0.52107
4.518,0.38847,0.24425,0.17175,0.46187,0.26673
4.517,0.09806,0.22605,0.07625,0.24834,0
4.514,0.56874,0.38282,0.05907,0.32296,0.35997
4.512,0.44055,0.4345,0.15048,0.24325,0.19073
4.507,0,0.4084,0.08786,0.21488,0.33024
4.436,0.35874,0.24232,0.17461,0.219,0.45407
4.419,0.41435,0.42215,0.05839,0.37542,0.36471
4.369,0.36291,0.46074,0.28105,0.18093,0.44025
4.35,0.7299,0.19847,0.039,0.07855,0.76821
4.332,0.04776,0.49495,0.12474,0.10461,0.99355
4.307,0.48246,0.44017,0.19034,0.79588,0.27108
4.297,0.72926,0.40577,0.38331,0.05547,0.7419
4.292,0.22562,0.43054,0.06977,0.33128,0.01604
4.271,0.70806,0.53726,0.09179,0.40828,0.83524
4.252,0.23402,0.49309,0.05786,0.20618,0.4225
4.218,0.76649,0.30587,0.00872,0.11921,1.01216
4.194,0.61712,0.17288,0.06324,0.11291,0.8818
4.077,0.40064,0.35571,0.07854,0.09131,0.54649
4.033,0.16683,0.10384,0.07122,0.12344,0.75778
3.995,0.20583,0.38857,0.12352,0.18798,0.26074
3.989,0.31051,0.41466,0.11686,0.12388,0.67866
3.956,0.36315,0.22917,0.199,0.17441,0.23906
3.931,0.33861,0.45727,0.07267,0.29066,0.21102
3.904,0.4354,0.36772,0.10713,0.20843,0.36498
3.896,0.43372,0.31914,0.11091,0.06822,1.06024
3.845,0.29707,0.47692,0.15639,0.19387,0.0694
3.819,0.61114,0.66246,0.07247,0.40359,0.46038
3.781,0.38215,0.32878,0.05747,0.34377,0.2852
3.681,0.46721,0.19184,0.08124,0.21333,0.20824
3.678,0.06699,0.48879,0.08289,0.23835,0.0785
3.667,0.1501,0.23501,0.05269,0.18386,0.34193
3.656,0.24009,0.37725,0.12139,0.28657,0.17417
3.655,0.15185,0.46866,0.17922,0.20165,0.46534
3.587,0.27125,0.39493,0.12832,0.21747,0.25812
3.575,0.30335,0.23414,0.09719,0.3651,0.31982
3.465,0.42864,0.59201,0.55191,0.22628,0.22208
3.34,0.3191,0.4845,0.0801,0.1826,0.28665
3.006,0.72193,0.15684,0.18906,0.47179,0.6632
2.905,0.22396,0.1185,0.10062,0.19727,0.0153
2.839,0.28443,0.36453,0.10731,0.16681,0.20868
7.526,0.79504,0.57941,0.44453,0.36171,1.44178
7.509,0.86303,0.58557,0.41203,0.28083,1.52733
7.501,0.86733,0.56624,0.14975,0.47678,1.42666
7.498,0.79579,0.59609,0.35776,0.37895,1.57744
7.413,0.81091,0.57104,0.41004,0.25492,1.40598
7.404,0.8276,0.5737,0.31329,0.44834,1.44015
7.339,0.81231,0.55211,0.29927,0.47416,1.46468
7.334,0.83096,0.58147,0.41904,0.49401,1.36066
7.313,0.8512,0.56837,0.32331,0.47407,1.44443
7.291,0.83121,0.58218,0.40867,0.38254,1.45181
7.267,0.84917,0.36432,0.08728,0.32288,1.33766
