year,name,architecture,batch_size,epochs,optimizer,learning_rate,momentum,mode,k,n_train,n_test,n_columns,train_mse,valid_mse,test_mse,train_mape,valid_mape,test_mape,train_loss,valid_loss,test_loss
,arch0_B4_OAdam_L0.01_M0,arch0,4,100,Adam,0.01,0,kfold,5,625,,9,0.3307379430532455,0.3307379424571991,,99.84000244140626,99.83999938964844,,0.3311865004897117,0.3311378770470619,
,arch0_B4_Osgd_L0.01_M0,arch0,4,100,sgd,0.01,0,kfold,5,625,,9,0.3761651802062988,0.330737954378128,,99.88959858703612,99.83999938964844,,59.20705128097534,59.01596743583679,
,arch0_B4_OAdam_L0.1_M0,arch0,4,100,Adam,0.1,0,kfold,5,625,,9,0.3309548243284225,0.3307379245758056,,99.85585916137696,99.83999938964844,,0.3359044802784919,0.3356665709018707,
,arch0_B4_Osgd_L0.1_M0,arch0,4,100,sgd,0.1,0,kfold,5,625,,9,0.5792255510091782,0.3307379364967346,,100.0469269104004,99.83999938964844,,9356.723660084068,9126.32261722815,
,arch0_B8_OAdam_L0.01_M0,arch0,8,100,Adam,0.01,0,kfold,5,625,,9,0.3307379355430603,0.3307379424571991,,99.84000244140626,99.83999938964844,,0.3312126958370209,0.3311444699168205,
,arch0_B8_Osgd_L0.01_M0,arch0,8,100,sgd,0.01,0,kfold,5,625,,9,11.66257018083334,0.3307379364967346,,103.4669207458496,99.83999938964844,,461955.160125,461374.19684375,
,arch0_B8_OAdam_L0.1_M0,arch0,8,100,Adam,0.1,0,kfold,5,625,,9,0.3323392889499664,0.3307379364967346,,99.85364738464357,99.83999938964844,,0.3401572605967521,0.3384033064246177,
,arch0_B8_Osgd_L0.1_M0,arch0,8,100,sgd,0.1,0,kfold,5,625,,9,12.683931590199473,0.3307379305362701,,102.03036791992189,99.83999938964844,,75562214.83888736,75712936.35299611,
,arch0_B16_OAdam_L0.01_M0,arch0,16,100,Adam,0.01,0,kfold,5,625,,9,0.0501149059906601,0.0500001345574855,,852624.8067368851,832979.8901963882,,0.0506694209873676,0.0504693107679486,
,arch0_B16_Osgd_L0.01_M0,arch0,16,100,sgd,0.01,0,kfold,5,625,,9,0.3343878562450409,0.3307379245758056,,99.85920793151855,99.83999938964844,,0.7452868437767028,0.7414382133483887,
,arch0_B16_OAdam_L0.1_M0,arch0,16,100,Adam,0.1,0,kfold,5,625,,9,0.330934976875782,0.3307379484176636,,99.8541656036377,99.83999938964844,,0.3358562743663787,0.3357128713130951,
,arch0_B16_Osgd_L0.1_M0,arch0,16,100,sgd,0.1,0,kfold,5,625,,9,94.6544781333804,0.3307379364967346,,115.29459677124024,99.83999938964844,,252889934.976,251290152.275,
,arch1_B4_OAdam_L0.01_M0,arch1,4,100,Adam,0.01,0,kfold,5,625,,9,78.9790490577817,4.808107725970447,,1282745.281520317,818876.8143282776,,78.98208929013461,4.811153700664639,
,arch1_B4_Osgd_L0.01_M0,arch1,4,100,sgd,0.01,0,kfold,5,625,,9,0.3307379318475723,0.3307379603385925,,99.84000244140626,99.83999938964844,,0.3363851816058159,0.3363587315678596,
,arch1_B4_OAdam_L0.1_M0,arch1,4,100,Adam,0.1,0,kfold,5,625,,9,0.3307362229824066,0.3307379305362701,,99.84385520935058,99.83999938964844,,0.3316490871906281,0.3316534000635147,
,arch1_B4_Osgd_L0.1_M0,arch1,4,100,sgd,0.1,0,kfold,5,625,,9,178.46696292734146,0.3307379424571991,,113.53225204467772,99.83999938964844,,6115951447.264353,6100653304.467285,
,arch1_B8_OAdam_L0.01_M0,arch1,8,100,Adam,0.01,0,kfold,5,625,,9,0.0504156440421938,0.0503205664232373,,843548.0442890091,867601.4575005722,,0.0506727684661746,0.0505625741928815,
,arch1_B8_Osgd_L0.01_M0,arch1,8,100,sgd,0.01,0,kfold,5,625,,9,0.330737929046154,0.3307379305362701,,99.84000244140626,99.83999938964844,,0.3413521686792373,0.3413274940252304,
,arch1_B8_OAdam_L0.1_M0,arch1,8,100,Adam,0.1,0,kfold,5,625,,9,0.3307379388213157,0.3307379424571991,,99.84000244140626,99.83999938964844,,0.3313995093107224,0.3313569204211235,
,arch1_B8_Osgd_L0.1_M0,arch1,8,100,sgd,0.1,0,kfold,5,625,,9,1.3469317279458046,0.3307379305362701,,100.78723263549804,99.83999938964844,,100510.18687333108,99258.31431114006,
,arch1_B16_OAdam_L0.01_M0,arch1,16,100,Adam,0.01,0,kfold,5,625,,9,0.3307610561847687,0.3307379186153412,,99.84695922851564,99.83999938964844,,0.3308955152630806,0.3308545273542404,
,arch1_B16_Osgd_L0.01_M0,arch1,16,100,sgd,0.01,0,kfold,5,625,,9,0.4052304114699364,0.3307379364967346,,100.29185842895508,99.83999938964844,,96.41729347229004,96.2863260192871,
,arch1_B16_OAdam_L0.1_M0,arch1,16,100,Adam,0.1,0,kfold,5,625,,9,0.3321055388450623,0.3307379364967346,,99.9219757080078,99.83999938964844,,0.3333048491477966,0.3319389961361885,
,arch1_B16_Osgd_L0.1_M0,arch1,16,100,sgd,0.1,0,kfold,5,625,,9,0.487588062107563,0.33073793053627015,,100.3811862487793,99.83999938964844,,41805.00494024658,41540.408301940915,
