year,name,architecture,batch_size,epochs,optimizer,learning_rate,momentum,mode,k,n_train,n_test,n_columns,train_mse,valid_mse,test_mse,train_mape,valid_mape,test_mape,train_loss,valid_loss,test_loss
,arch0_B32_Osgd_L0.01_M0,arch0,32,100,sgd,0.01,0,kfold,5,625,,9,29.990228404998778,29.990229034423827,,100.0,100.0,,30.07718864822388,30.077133815765382,
,arch0_B32_Osgd_L0.1_M0,arch0,32,100,sgd,0.1,0,kfold,5,625,,9,29.9902296295166,29.990228271484376,,100.0,100.0,,30.00502904891968,30.00491228866577,
,arch0_B64_Osgd_L0.01_M0,arch0,64,100,sgd,0.01,0,kfold,5,625,,9,29.9902287940979,29.990229034423827,,100.0,100.0,,30.087419471740724,30.087388008117674,
,arch0_B64_Osgd_L0.1_M0,arch0,64,100,sgd,0.1,0,kfold,5,625,,9,34.81650218200684,29.990228271484376,,100.25797674560548,100.0,,456690.78025,456083.140875,
,arch1_B32_Osgd_L0.01_M0,arch1,32,100,sgd,0.01,0,kfold,5,625,,9,29.990228610992432,29.990228271484376,,100.0,100.0,,30.011941230773925,30.0119299697876,
,arch1_B32_Osgd_L0.1_M0,arch1,32,100,sgd,0.1,0,kfold,5,625,,9,787905282.6746548,6199119942.82953,,9536.346272369385,76160.464,,2.134947965779669e+20,2.1287305974545675e+20,
,arch1_B64_Osgd_L0.01_M0,arch1,64,100,sgd,0.01,0,kfold,5,625,,9,30.271542812347413,29.990229034423827,,100.1377601928711,100.0,,1001.2329829101562,1001.0426373291016,
,arch1_B64_Osgd_L0.1_M0,arch1,64,100,sgd,0.1,0,kfold,5,625,,9,2032329979.1137836,29.990229415893555,,14198.245,100.0,,1.9345066339037033e+21,1.932944932482869e+21,
