year,name,architecture,batch_size,epochs,optimizer,learning_rate,momentum,mode,k,n_train,n_test,n_columns,train_mse,valid_mse,test_mse,train_mape,valid_mape,test_mape,train_loss,valid_loss,test_loss
,arch0_B8_OAdam_L0.01_M0,arch0,8,100,Adam,0.01,0,kfold,5,625,,9,18.50304754459858,0.3200628519058227,,114.5377042388916,99.83999938964844,,18.51902447992564,0.3359729596972465,
,arch0_B8_Osgd_L0.01_M0,arch0,8,100,sgd,0.01,0,kfold,5,625,,9,0.7218160207271576,0.3200628519058227,,100.10395159912107,99.83999938964844,,3573.190015869141,3568.7844719238283,
,arch0_B16_OAdam_L0.01_M0,arch0,16,100,Adam,0.01,0,kfold,5,625,,9,10.47182698893547,0.1000051794871687,,637460.9250921555,839467.8608098449,,10.5088618696481,0.1369564152956009,
,arch0_B16_Osgd_L0.01_M0,arch0,16,100,sgd,0.01,0,kfold,5,625,,9,0.3777599722146988,0.3200628757476806,,99.93718359375,99.83999938964844,,119.51319627380371,119.3956970062256,
,arch1_B8_OAdam_L0.01_M0,arch1,8,100,Adam,0.01,0,kfold,5,625,,9,0.3200628789663314,0.3200628876686096,,99.84000244140626,99.83999938964844,,0.3201406745910644,0.3201248092055321,
,arch1_B8_Osgd_L0.01_M0,arch1,8,100,sgd,0.01,0,kfold,5,625,,9,139.6714666622281,0.3200628817081451,,113.01222274780274,99.83999938964844,,23959306.964,23929622.928,
,arch1_B16_OAdam_L0.01_M0,arch1,16,100,Adam,0.01,0,kfold,5,625,,9,17.106373111985622,1.5575710649043322,,1635736.0550248337,833830.2997456054,,17.10915909161419,1.5603336713686586,
,arch1_B16_Osgd_L0.01_M0,arch1,16,100,sgd,0.01,0,kfold,5,625,,9,0.3200628747344017,0.3200628697872162,,99.84000244140626,99.83999938964844,,0.3380528782606125,0.33803380662202837,
