country,year,health,family,economy,freedom,generosity,corruption,dystopia,score
Norway,2017,,1.53352355957031,1.61646318435669,,0.36201223731041,0.315963834524155,2.27702665328979,7.53700017929077
Denmark,2017,,1.55112159252167,1.48238301277161,,0.355280488729477,0.40077006816864,2.31370735168457,7.52199983596802
Iceland,2017,,1.6105740070343,1.480633020401,,0.475540220737457,0.153526559472084,2.32271528244019,7.50400018692017
Switzerland,2017,,1.51691174507141,1.56497955322266,,0.290549278259277,0.367007285356522,2.2767162322998,7.49399995803833
Finland,2017,,1.5402467250824,1.44357192516327,,0.24548277258873,0.38261154294014,2.4301815032959,7.4689998626709
Netherlands,2017,,1.42893922328949,1.50394463539124,,0.470489829778671,0.282661825418472,2.29480409622192,7.3769998550415
Canada,2017,,1.48134899139404,1.47920441627502,,0.435539722442627,0.287371516227722,2.18726444244385,7.31599998474121
New Zealand,2017,,1.54819512367249,1.40570604801178,,0.500005125999451,0.382816702127457,2.0464563369751,7.31400012969971
Sweden,2017,,1.47816216945648,1.49438726902008,,0.385399252176285,0.384398728609085,2.09753799438477,7.28399991989136
Australia,2017,,1.51004195213318,1.484414935112,,0.477699249982834,0.301183730363846,2.06521081924438,7.28399991989136
Israel,2017,,1.37628996372223,1.37538242340088,,0.330082654953003,0.085242100059986,2.80175733566284,7.21299982070923
Costa Rica,2017,,1.41640365123749,1.10970628261566,,0.214613229036331,0.100106589496136,2.89863920211792,7.0789999961853
Austria,2017,,1.4599449634552,1.48709726333618,,0.316472321748734,0.221060365438461,2.1385064125061,7.00600004196167
United States,2017,,1.41992056369781,1.54625928401947,,0.392578780651093,0.135638788342476,2.2181134223938,6.99300003051758
Ireland,2017,,1.55823111534119,1.53570663928986,,0.42785832285881,0.29838815331459,1.77386903762817,6.97700023651123
Germany,2017,,1.47252035140991,1.48792338371277,,0.336269170045853,0.276731938123703,2.01576995849609,6.95100021362305
Belgium,2017,,1.46231269836426,1.46378076076508,,0.231503337621689,0.251343131065369,2.12421035766602,6.89099979400635
Luxembourg,2017,,1.45758366584778,1.74194359779358,,0.283180981874466,0.31883442401886,1.61951208114624,6.86299991607666
United Kingdom,2017,,1.49646008014679,1.44163393974304,,0.492774158716202,0.265428066253662,1.70414352416992,6.71400022506714
Chile,2017,,1.28402495384216,1.25278460979462,,0.326662421226501,0.082287982106209,2.50958585739136,6.65199995040894
United Arab Emirates,2017,,1.26641023159027,1.62634336948395,,0.3609419465065,0.324489563703537,1.734703540802,6.64799976348877
Brazil,2017,,1.43130600452423,1.10735321044922,,0.16234989464283,0.111092761158943,2.76926708221436,6.63500022888184
Czech Republic,2017,,1.43388521671295,1.35268235206604,,0.088106758892536,0.036872927099466,2.45186185836792,6.60900020599365
Argentina,2017,,1.44045114517212,1.18529546260834,,0.109457060694695,0.059739887714386,2.61400532722473,6.59899997711182
Mexico,2017,,1.210862159729,1.15318381786346,,0.120990432798862,0.132774114608765,2.83715486526489,6.57800006866455
Singapore,2017,,1.35381436347961,1.69227766990662,,0.345965981483459,0.46430778503418,1.21636199951172,6.57200002670288
Malta,2017,,1.48841166496277,1.34327983856201,,0.574730575084686,0.153066068887711,1.55686283111572,6.52699995040894
Uruguay,2017,,1.41222786903381,1.21755969524384,,0.175096929073334,0.178061872720718,2.17240953445435,6.4539999961853
Guatemala,2017,,1.25558519363403,0.872001945972443,,0.283488392829895,0.077223278582096,2.89389109611511,6.4539999961853
