year,name,architecture,batch_size,epochs,optimizer,learning_rate,momentum,mode,k,n_train,n_test,n_columns,train_mse,valid_mse,test_mse,train_mape,valid_mape,test_mape,train_loss,valid_loss,test_loss
,arch0_B16_OAdam_L0.01_M0,arch0,16,100,Adam,0.01,0,kfold,5,625,,9,0.9374374656155704,0.2188611042574048,,456695.6789539948,88.28951020812988,,0.957565542690456,0.2388816363885998,
,arch0_B16_Osgd_L0.01_M0,arch0,16,100,sgd,0.01,0,kfold,5,625,,9,0.4021221936941146,0.3314082026481628,,100.08569400024416,99.83999938964844,,112.76773229980468,112.630884475708,
,arch0_B16_OAdam_L0.05_M0,arch0,16,100,Adam,0.05,0,kfold,5,625,,9,0.0495746874287724,0.0493844451159238,,849627.9475724716,863936.0220089036,,0.0517880061715841,0.0515634445548057,
,arch0_B16_Osgd_L0.05_M0,arch0,16,100,sgd,0.05,0,kfold,5,625,,9,0.3314082037210464,0.3314082026481628,,99.84000244140626,99.83999938964844,,0.3472675142884254,0.3471471064686775,
,arch0_B16_OAdam_L0.1_M0,arch0,16,100,Adam,0.1,0,kfold,5,625,,9,0.3315160183906555,0.3314082086086273,,99.84602880859374,99.83999938964844,,0.3365403136610985,0.3364009233117103,
,arch0_B16_Osgd_L0.1_M0,arch0,16,100,sgd,0.1,0,kfold,5,625,,9,0.3314082081913948,0.3314082026481628,,99.84000244140626,99.83999938964844,,0.3384756681919098,0.3383650300502777,
,arch0_B32_OAdam_L0.01_M0,arch0,32,100,Adam,0.01,0,kfold,5,625,,9,0.3314081950783729,0.3314082026481628,,99.84000244140626,99.83999938964844,,0.3320853758454323,0.3319720610976219,
,arch0_B32_Osgd_L0.01_M0,arch0,32,100,sgd,0.01,0,kfold,5,625,,9,0.331408204138279,0.3314081966876984,,99.84000244140626,99.83999938964844,,0.4155825985670089,0.4155286192297935,
,arch0_B32_OAdam_L0.05_M0,arch0,32,100,Adam,0.05,0,kfold,5,625,,9,0.5595822955369949,0.3314082026481628,,100.61527699279785,99.83999938964844,,0.5749145862460137,0.34668946570158,
,arch0_B32_Osgd_L0.05_M0,arch0,32,100,sgd,0.05,0,kfold,5,625,,9,32.7332108399868,0.3314081966876984,,111.91519540405274,99.83999938964844,,9321930.0195,9308112.5825,
,arch0_B32_OAdam_L0.1_M0,arch0,32,100,Adam,0.1,0,kfold,5,625,,9,0.7943830202817916,0.3314081847667694,,100.38667442321776,99.83999938964844,,0.8330140726566315,0.3700029255747795,
,arch0_B32_Osgd_L0.1_M0,arch0,32,100,sgd,0.1,0,kfold,5,625,,9,0.1860242621153593,0.1937482368573546,,546611.59048526,77.72034389495849,,0.2020297107473015,0.2096284498795867,
,arch0_B64_OAdam_L0.01_M0,arch0,64,100,Adam,0.01,0,kfold,5,625,,9,166.05523940354587,0.6142443753480912,,565301.1077281189,108.66267004394533,,166.12417857402562,0.6831045110225678,
,arch0_B64_Osgd_L0.01_M0,arch0,64,100,sgd,0.01,0,kfold,5,625,,9,11.163865581393242,0.3314082086086273,,110.61913290405272,99.83999938964844,,22506.66953515625,22497.94490625,
,arch0_B64_OAdam_L0.05_M0,arch0,64,100,Adam,0.05,0,kfold,5,625,,9,2.5656659519076346,0.3314082086086273,,101.52039831542967,99.83999938964844,,2.6233750444054604,0.3890570449233055,
,arch0_B64_Osgd_L0.05_M0,arch0,64,100,sgd,0.05,0,kfold,5,625,,9,0.3387450709342957,0.3314081966876984,,99.99939712524414,99.83999938964844,,1.3703100278377534,1.362331044435501,
,arch0_B64_OAdam_L0.1_M0,arch0,64,100,Adam,0.1,0,kfold,5,625,,9,7.290058431386948,0.3314082086086273,,106.60059188842772,99.83999938964844,,7.384134751498699,0.4254454581141472,
,arch0_B64_Osgd_L0.1_M0,arch0,64,100,sgd,0.1,0,kfold,5,625,,9,49022133946304.86,0.3314081966876984,,10328525.833300874,99.83999938964844,,inf,inf,
,arch1_B16_OAdam_L0.01_M0,arch1,16,100,Adam,0.01,0,kfold,5,625,,9,0.3314082027673721,0.3314082026481628,,99.84000244140626,99.83999938964844,,0.3329016795158386,0.3327134879231453,
,arch1_B16_Osgd_L0.01_M0,arch1,16,100,sgd,0.01,0,kfold,5,625,,9,0.3314082000851631,0.3314082086086273,,99.84000244140626,99.83999938964844,,0.4556461958885193,0.455438161611557,
,arch1_B16_OAdam_L0.05_M0,arch1,16,100,Adam,0.05,0,kfold,5,625,,9,0.8535261530876159,0.3314082026481628,,101.0718621520996,99.83999938964844,,1.0042837638258937,0.4820102499723434,
,arch1_B16_Osgd_L0.05_M0,arch1,16,100,sgd,0.05,0,kfold,5,625,,9,0.3314082017540932,0.3314082205295562,,99.84000244140626,99.83999938964844,,0.3603613802194595,0.3600998870134353,
,arch1_B16_OAdam_L0.1_M0,arch1,16,100,Adam,0.1,0,kfold,5,625,,9,0.6247332788705826,0.3314082145690918,,100.88315048217774,99.83999938964844,,0.7694746332764626,0.4758636825084686,
,arch1_B16_Osgd_L0.1_M0,arch1,16,100,sgd,0.1,0,kfold,5,625,,9,31.609303977429867,0.3314082026481628,,109.72192391967774,99.83999938964844,,45882074.0279375,45591810.21875,
,arch1_B32_OAdam_L0.01_M0,arch1,32,100,Adam,0.01,0,kfold,5,625,,9,0.3314082087278366,0.3314082086086273,,99.84000244140626,99.83999938964844,,0.3332228491902351,0.3329773020744324,
,arch1_B32_Osgd_L0.01_M0,arch1,32,100,sgd,0.01,0,kfold,5,625,,9,93.44652240246535,0.3314081966876984,,124.88659033203125,99.83999938964844,,2688764.7015,2688140.2505,
